Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,SPECIFIC GRAVITY,Pressure (psia),PR,Hydrate Temperature (K)
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1543.922,2.280364864,291.4645
0,74.3,0,0,0,0,0,0,0,0,25.7,0.801881912,944.4444444,1.225233702,288.2564087
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,1843.701,2.39517703,291.5212
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,1524.126,2.146809176,290.5872
0,85,0,0,0,0,0,0,0,0,15,0.698586469,1388.888889,1.908863234,290.4219055
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,377.7942,0.47169187,284.7788
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,2062.714,2.905437833,292.2426
0,49.6,0,0,0,0,0,0,0,0,50.4,1.040330273,507.63,0.583069918,280.6
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1341.691,1.981670715,290.7111
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,46.30084,0.063895835,251.2607
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,2530.092,2.469833375,295.9392
0,64,0,0,0,0,0,0,0,0,36,0.901315844,1388.888889,1.709527952,290.545166
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,1466.133,2.023284938,291.773
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,1323.631,1.938492396,290.8607
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,1582.032,1.991637483,292.1019
0,78,0,2,0,0,0,0,0,0,20,0.766222989,356.94,0.477972094,280.56
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,79.85525,0.099411946,273.6156
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,2099.733,2.621604525,295.1285
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,1918.184,2.414822933,293.1134
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,99.79992,0.12999899,274.1953
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,1702.439,2.10173269,292.7011
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,85.90245,0.11159704,259.8385
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,124.7345,0.157029634,272.3931
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,75.16217,0.063264986,272.5678
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,79.01839,0.098657767,271.8353
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,38.22238,0.049788324,255.5224
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,279.7603,0.409716314,279.1216
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,992.9783,0.835802877,290.0645
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,122.2826,0.168751773,272.9989
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,1138.388,1.592168971,290.8256
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,134.7761,0.197383142,272.9086
0,50,0,0,0,0,0,0,0,0,50,1.036468761,319.08,0.367180667,275.7
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,2620.054,3.664452437,295.1603
0,60,0,0,0,0,0,0,0,0,40,0.939930963,2055.555556,2.480757369,292.1621094
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,13.53262,0.013210317,234.188
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,13.95263,0.017369654,238.5382
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,94.4477,0.092198261,273.4115
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,2119.582,2.069100399,295.0661
0,52.55,8.12,4.74,1.31,1.88,0,0,0,0,31.4,0.988463027,1149,1.453035043,295.8
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,781.2272,0.981434471,286.1051
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,112.2513,0.16439498,268.5522
0,7.86,1.13,0.86,0.2,0.33,0,0,0,0,89.62,1.440449575,595,0.578553095,282.3
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,667.075,0.8666062,285.0791
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,570.6558,0.83243952,285.8255
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,104.7809,0.129356437,271.7918
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,417.0475,0.54324446,285.0154
